Class 1,Term 1,Similarity,Class 2,Term 2,Comment,Reasoning,Factors
30,Tea,3,30,Flowers or leaves for use as tea substitutes,"Flowers or leaves for use as tea substitutes are highly similar to the opponent’s tea. The goods have the same methods of use and are in competition with each other. Furthermore, they target the same relevant public, share the same distribution channels and can originate from the same producers.","['3. Methods of use', '5. Goods / services in competition', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[3, 5, 6, 7, 8]"
30,Tea,3,30,Processed herbs,"Processed herbs include herbs that can be used for brewing infusions. Therefore, processed herbs and tea have a the same method of use and can be in competition. Furthermore, they may have the same producers, target the same relevant public and may be distributed through the same channels. Therefore, they are highly similar.","['3. Methods of use', '5. Goods / services in competition', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[3, 5, 6, 7, 8]"
30,Tea,3,30,Tea substitutes,,"['3. Methods of use', '5. Goods / services in competition', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[3, 5, 6, 7, 8]"
29,"Shellfish, not live",3,29,Octopuses [not live],,"['5. Goods / services in competition', '6. Distribution channels']","[5, 6]"
29,"Shellfish, not live",3,29,Sea urchins [not live],,"['3. Methods of use', '5. Goods / services in competition', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[3, 5, 6, 7, 8]"
29,"Shellfish, not live",3,29,Squid [prepared],,"['3. Methods of use', '5. Goods / services in competition', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[3, 5, 6, 7, 8]"
30,Sauces [condiments],3,30,Mustard,,"['2. Purpose', '5. Goods / services in competition', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[2, 5, 6, 7, 8]"
30,Sauces [condiments],3,30,Vinegar,,"['2. Purpose', '5. Goods / services in competition', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[2, 5, 6, 7, 8]"
16,Stationery,3,16,Gluten glue for household purposes,They have the same nature. They have the same purpose. They coincide in end user. They coincide in producer.,"['1. Nature', '2. Purpose', '7. Relevant public', '8. Producer / Provider']","[1, 2, 7, 8]"
16,Stationery,3,16,Gums adhesives for household purposes,They have the same nature. They have the same purpose. They coincide in end user. They coincide in producer.,"['1. Nature', '2. Purpose', '7. Relevant public', '8. Producer / Provider']","[1, 2, 7, 8]"
16,Stationery,3,16,Adhesive bands for household purposes,They have the same nature. They have the same purpose. They coincide in end user. They coincide in producer.,"['1. Nature', '2. Purpose', '7. Relevant public', '8. Producer / Provider']","[1, 2, 7, 8]"
16,Stationery,3,16,Adhesive tapes for household purposes,They have the same nature. They have the same purpose. They coincide in end user. They coincide in producer.,"['1. Nature', '2. Purpose', '7. Relevant public', '8. Producer / Provider']","[1, 2, 7, 8]"
16,Stationery,3,16,Adhesives glues for household purposes,They have the same nature. They have the same purpose. They coincide in end user. They coincide in producer.,"['1. Nature', '2. Purpose', '7. Relevant public', '8. Producer / Provider']","[1, 2, 7, 8]"
16,Stationery,3,16,Glue for household purposes,They have the same nature. They have the same purpose. They coincide in end user. They coincide in producer.,"['1. Nature', '2. Purpose', '7. Relevant public', '8. Producer / Provider']","[1, 2, 7, 8]"
16,Stationery,3,16,Selfadhesive tapes for household purposes,They have the same nature. They have the same purpose. They coincide in end user. They coincide in producer.,"['1. Nature', '2. Purpose', '7. Relevant public', '8. Producer / Provider']","[1, 2, 7, 8]"
16,Stationery,3,16,Bookbinding material,"Stationery includes materials to bind sheets of paper or documents, as well as adhesives for stationery.
Bookbinding material also includes adhesives and glues for bookbinding.","['1. Nature', '2. Purpose', '6. Distribution channels', '8. Producer / Provider']","[1, 2, 6, 8]"
29,"Vegetables, cooked",3,29,"Vegetables, dried",,"['1. Nature', '5. Goods / services in competition', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 5, 6, 7, 8]"
29,"Vegetables, cooked",3,29,Frozen vegetables,,"['1. Nature', '5. Goods / services in competition', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 5, 6, 7, 8]"
25,Clothing,3,24,Towels of textile,"Guidelines: In view of the fact that bathrobes are included in the broad category of clothing (09/09/2020, T 50/19, Dayaday (fig.) / DAYADAY (fig.) et al, ECLI:EU:T:2020:407, § 128).) and bath towels are included in the broad category of textile goods, similarity must also be found between the broad categories of textile goods in Class 24 and clothing in Class 25.","['2. Purpose', '5. Goods / services in competition', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[2, 5, 6, 7, 8]"
30,Sugar,3,30,Natural sweeteners,,"['2. Purpose', '3. Methods of use', '5. Goods / services in competition', '6. Distribution channels', '7. Relevant public']","[2, 3, 5, 6, 7]"
7,Saw blades [parts of machines],3,7,Power saws,,"['4. Complementary goods / services', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[4, 6, 7, 8]"
29,"Vegetables, dried",3,29,Frozen vegetables,,"['1. Nature', '5. Goods / services in competition', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 5, 6, 7, 8]"
20,Furniture,3,20,Furniture partitions of wood,,"['1. Nature', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 6, 7, 8]"
20,Furniture,3,20,Fronts of cupboards,,"['4. Complementary goods / services', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[4, 6, 7, 8]"
28,Games,3,28,Plush toys,,"['1. Nature', '2. Purpose', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 2, 6, 7, 8]"
28,Games,3,28,Dolls' houses,,"['1. Nature', '2. Purpose', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 2, 6, 7, 8]"
28,Games,3,28,Toy vehicles,"These goods have a similar nature, being toys or games and purpose, namely providing pleasure and amusement. These goods may be manufactured by the same companies and target the same consumers through the same distribution channels.","['1. Nature', '2. Purpose', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 2, 6, 7, 8]"
28,Games,3,28,Toy cars,"These goods have a similar nature, being toys or games and purpose, namely providing pleasure and amusement. These goods may be manufactured by the same companies and target the same consumers through the same distribution channels.","['1. Nature', '2. Purpose', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 2, 6, 7, 8]"
28,Games,3,28,Dolls' clothing accessories,,"['1. Nature', '2. Purpose', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 2, 6, 7, 8]"
28,Games,3,28,Toy aeroplanes,,"['1. Nature', '2. Purpose', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 2, 6, 7, 8]"
28,Games,3,28,Headgear for dolls,,"['1. Nature', '2. Purpose', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 2, 6, 7, 8]"
28,Games,3,28,Toy models,"These goods have a similar nature, being toys or games and purpose, namely providing pleasure and amusement. These goods may be manufactured by the same companies and target the same consumers through the same distribution channels.","['1. Nature', '2. Purpose', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 2, 6, 7, 8]"
28,Games,3,28,Kites,,"['1. Nature', '2. Purpose', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 2, 6, 7, 8]"
28,Games,3,28,Shoes for dolls,,"['1. Nature', '2. Purpose', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 2, 6, 7, 8]"
28,Games,3,28,Toys for use in swimming pools,"These goods have a similar nature, being toys or games and purpose, namely providing pleasure and amusement. These goods may be manufactured by the same companies and target the same consumers through the same distribution channels.","['1. Nature', '2. Purpose', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 2, 6, 7, 8]"
28,Games,3,28,Scooters [toys],"These goods have a similar nature, being toys or games and purpose, namely providing pleasure and amusement. These goods may be manufactured by the same companies and target the same consumers through the same distribution channels.","['1. Nature', '2. Purpose', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 2, 6, 7, 8]"
28,Games,3,28,Scale model aeroplanes,"These goods have a similar nature, being toys or games and purpose, namely providing pleasure and amusement. These goods may be manufactured by the same companies and target the same consumers through the same distribution channels.","['1. Nature', '2. Purpose', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 2, 6, 7, 8]"
28,Games,3,28,Jewellery for dolls,,"['1. Nature', '2. Purpose', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 2, 6, 7, 8]"
28,Games,3,28,Flying discs [toys],"These goods have a similar nature, being toys or games and purpose, namely providing pleasure and amusement. These goods may be manufactured by the same companies and target the same consumers through the same distribution channels.","['1. Nature', '2. Purpose', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 2, 6, 7, 8]"
28,Games,3,28,Toy whistles,"These goods have a similar nature, being toys or games and purpose, namely providing pleasure and amusement. These goods may be manufactured by the same companies and target the same consumers through the same distribution channels.","['1. Nature', '2. Purpose', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 2, 6, 7, 8]"
28,Games,3,28,Dolls' clothes,,"['1. Nature', '2. Purpose', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 2, 6, 7, 8]"
10,Medical apparatus and instruments,3,5,Dental impression materials,,"['2. Purpose', '4. Complementary goods / services', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[2, 4, 6, 7, 8]"
10,Medical apparatus and instruments,3,5,Dental materials for stopping the teeth,,"['2. Purpose', '4. Complementary goods / services', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[2, 4, 6, 7, 8]"
10,Medical apparatus and instruments,3,5,Teeth filling material,,"['2. Purpose', '4. Complementary goods / services', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[2, 4, 6, 7, 8]"
5,Sedatives,3,5,Analgesics,"Sedatives are medications that slow down the brain activity. Doctors often administer sedatives to patients in order to dull the patient's anxiety related to painful or anxiety-provoking procedures. Although sedatives do not relieve pain in themselves, they can be a useful adjunct to analgesics in preparing patients for surgery or other invasive procedures like cardiac catheterization or colonoscopy. Therefore, these goods have similar intended purpose and they coicide in producers, public and distribution channels.","['1. Nature', '2. Purpose', '3. Methods of use', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 2, 3, 6, 7, 8]"
14,Alloys of precious metal,3,14,Precious metals,The contested precious metals are similar to a high degree with the opponent’s alloys of precious metal. Alloys of precious metal principally have the same purpose and nature as precious metals. These goods target the same consumers through the same commercial channels. They are in competition with each other or complementary to each other as precious metals may be used in the course of preparation of precious metals’ alloys.,"['1. Nature', '2. Purpose', '4. Complementary goods / services', '5. Goods / services in competition', '6. Distribution channels', '7. Relevant public']","[1, 2, 4, 5, 6, 7]"
29,Preserved vegetables,3,29,Processed fungi,,"['2. Purpose', '5. Goods / services in competition', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[2, 5, 6, 7, 8]"
29,Prepared salads,3,29,"Vegetables, tinned",,"['2. Purpose', '3. Methods of use', '5. Goods / services in competition', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[2, 3, 5, 6, 7, 8]"
25,Stockings,3,25,Girdles,A girdle is a piece of women's underwear that fits tightly around the stomach and hips.,"['1. Nature', '2. Purpose', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 2, 6, 7, 8]"
18,Bags,3,18,Trunks,,"['1. Nature', '2. Purpose', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 2, 6, 7, 8]"
18,Bags,3,18,Travelling trunks,,"['1. Nature', '2. Purpose', '3. Methods of use', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 2, 3, 6, 7, 8]"
14,Semi-precious stones,3,14,Precious stones,,"['2. Purpose', '3. Methods of use', '5. Goods / services in competition', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[2, 3, 5, 6, 7, 8]"
9,"Conductors, electric",3,9,Semiconductores,,"['2. Purpose', '5. Goods / services in competition', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[2, 5, 6, 7, 8]"
24,Curtains of plastic,3,24,Curtains made of textile fabrics,.,"['1. Nature', '2. Purpose', '3. Methods of use', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 2, 3, 6, 7, 8]"
30,Pretzels,3,30,Bread,,"['1. Nature', '2. Purpose', '3. Methods of use', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 2, 3, 6, 7, 8]"
5,Medicines for veterinary purposes,3,5,Sanitary preparations for medical purposes,,"['2. Purpose', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[2, 6, 7, 8]"
26,Artificial flowers,3,26,Hat trimmings,,"['2. Purpose', '5. Goods / services in competition', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[2, 5, 6, 7, 8]"
29,Milk products,3,30,Edible ices,,"['1. Nature', '2. Purpose', '5. Goods / services in competition', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 2, 5, 6, 7, 8]"
29,Milk products,3,30,Custard,"The term custard in Class 30 includes both custard sauce (a sweet yellow sauce) as well as baked custard (a sweetened mixture of eggs and milk eaten as a dessert) whereas milk products include goods such as dairy puddings which are also consumed as desserts. Therefore, these goods can have the same purpose and method of use and be in competition. Furthermore, they target the same relevant public and can be found in the same refrigerated sections in supermarkets and are often produced by the same undertakings.","['2. Purpose', '3. Methods of use', '5. Goods / services in competition', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[2, 3, 5, 6, 7, 8]"
29,Milk products,3,29,Artificial milk based desserts,"Artificial milk is not a milk product and these terms can therefore not be identical. Therefore, these terms should rather be found highly similar in line with already existing comparable pair 0035972-0052150 milk products vs milk substitutes","['3. Methods of use', '5. Goods / services in competition', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[3, 5, 6, 7, 8]"
10,Dental apparatus and instruments,3,5,Dental impression materials,,"['2. Purpose', '4. Complementary goods / services', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[2, 4, 6, 7, 8]"
10,Dental apparatus and instruments,3,5,Dental materials for stopping the teeth,,"['2. Purpose', '4. Complementary goods / services', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[2, 4, 6, 7, 8]"
10,Dental apparatus and instruments,3,10,Surgical apparatus and instruments,Dental treatment does not include automatically surgery.,"['2. Purpose', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[2, 6, 7, 8]"
10,Dental apparatus and instruments,3,5,Teeth filling material,,"['2. Purpose', '4. Complementary goods / services', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[2, 4, 6, 7, 8]"
17,"Flexible hoses, not of metal",3,19,"Building materials, not of metal","Building materials, not of metal covers pipes, tubes, hoses, not of metal.","['1. Nature', '2. Purpose', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 2, 6, 7, 8]"
17,"Flexible hoses, not of metal",3,19,"Rigid pipes, not of metal",,"['1. Nature', '2. Purpose', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 2, 6, 7, 8]"
8,Cutters,3,8,Knives,,"['1. Nature', '2. Purpose', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 2, 6, 7, 8]"
39,Reservation services for airline travel,3,39,Transport services,,"['2. Purpose', '4. Complementary goods / services', '6. Distribution channels', '7. Relevant public']","[2, 4, 6, 7]"
31,Flowers,3,31,Flower bulbs,A flower is the reproductive organs of a flowering plant. Flower bulbs are planted to grow flowering plants.,"['5. Goods / services in competition', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[5, 6, 7, 8]"
31,Flowers,3,31,Rose bushes,,"['5. Goods / services in competition', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[5, 6, 7, 8]"
30,Coffee,3,30,Beverages based on coffee substitutes,,"['3. Methods of use', '5. Goods / services in competition', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[3, 5, 6, 7, 8]"
30,Coffee,3,30,"Chicory and chicory mixtures, all for use as substitutes for coffee",,"['3. Methods of use', '5. Goods / services in competition', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[3, 5, 6, 7, 8]"
30,Coffee,3,30,Decaffeinated coffee,,"['3. Methods of use', '5. Goods / services in competition', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[3, 5, 6, 7, 8]"
30,Coffee,3,30,Vegetable based coffee substitutes,,"['3. Methods of use', '5. Goods / services in competition', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[3, 5, 6, 7, 8]"
30,Coffee,3,30,Vegetal preparations for use as coffee substitutes,,"['3. Methods of use', '5. Goods / services in competition', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[3, 5, 6, 7, 8]"
30,Coffee,3,30,Chicory based coffee substitute,,"['3. Methods of use', '5. Goods / services in competition', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[3, 5, 6, 7, 8]"
30,Coffee,3,30,Malt coffee,Malt coffee is a coffee substitute usually made from grains (not coffee beans).,"['3. Methods of use', '5. Goods / services in competition', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[3, 5, 6, 7, 8]"
30,Coffee,3,30,Coffee substitutes [grain or chicory based],,"['3. Methods of use', '5. Goods / services in competition', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[3, 5, 6, 7, 8]"
16,Adhesives for household purposes,3,16,Stationery,Stationery includes  adhesives for stationery,"['1. Nature', '2. Purpose', '7. Relevant public', '8. Producer / Provider']","[1, 2, 7, 8]"
16,Adhesives for household purposes,3,16,Bookbinding material,Similarity is found because bookbinding material includes adhesives/glues for bookbinding.,"['1. Nature', '2. Purpose', '6. Distribution channels', '8. Producer / Provider']","[1, 2, 6, 8]"
16,Adhesives for household purposes,3,16,Adhesives for stationery,,"['1. Nature', '2. Purpose', '7. Relevant public', '8. Producer / Provider']","[1, 2, 7, 8]"
9,Magnetic data media,3,9,Sound recording apparatus,,"['4. Complementary goods / services', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[4, 6, 7, 8]"
9,Magnetic data media,3,9,Apparatus for recording images,,"['4. Complementary goods / services', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[4, 6, 7, 8]"
9,Magnetic data media,3,9,Sound reproduction apparatus,,"['4. Complementary goods / services', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[4, 6, 7, 8]"
9,Magnetic data media,3,9,Compact discs [read-only memory],,"['2. Purpose', '5. Goods / services in competition', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[2, 5, 6, 7, 8]"
9,Magnetic data media,3,9,Compact discs,,"['2. Purpose', '5. Goods / services in competition', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[2, 5, 6, 7, 8]"
9,Magnetic data media,3,9,DVDs,,"['2. Purpose', '5. Goods / services in competition', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[2, 5, 6, 7, 8]"
9,Magnetic data media,3,9,Apparatus for the reproduction of images,,"['4. Complementary goods / services', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[4, 6, 7, 8]"
9,Magnetic data media,3,9,Apparatus for the transmission of images,,"['4. Complementary goods / services', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[4, 6, 7, 8]"
9,Magnetic data media,3,9,Sound transmitting apparatus,,"['4. Complementary goods / services', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[4, 6, 7, 8]"
3,Cosmetics,3,3,Fingernail tips,,"['2. Purpose', '4. Complementary goods / services', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[2, 4, 6, 7, 8]"
30,Coffee flavourings,3,30,Flavouring syrups,"‘Coffee flavourings’ are in principle essences used to give a coffee flavour to other foodstuffs or beverages.
‘Flavouring syrups’ are syrups added to food (e.g. when making home-made cakes or pancakes, for instance) or beverages (e.g. coffee, etc) to give it a different flavour, such as vanilla, or caramel.","['2. Purpose', '3. Methods of use', '5. Goods / services in competition', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[2, 3, 5, 6, 7, 8]"
29,Dairy spreads,3,29,Margarine,Dairy products include butter.,"['2. Purpose', '3. Methods of use', '5. Goods / services in competition', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[2, 3, 5, 6, 7, 8]"
31,Agricultural produce (Unprocessed -),3,31,Meal for animals,"Meal for animal is not to be confused with foodstuffs for animals. These goods are protein additives for animals consisting of e.g. bone meal, blood meal, poultry by-product meal and feather meal. Consequently, they are complementary to animal foodstuffs which are included in agricultural products.","['4. Complementary goods / services', '6. Distribution channels', '7. Relevant public']","[4, 6, 7]"
41,"Writing of texts, other than publicity texts",3,41,"Providing online electronic publications, not downloadable",,"['2. Purpose', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[2, 6, 7, 8]"
29,Milk,3,29,"Milk beverages, milk predominating",,"['2. Purpose', '5. Goods / services in competition', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[2, 5, 6, 7, 8]"
25,Scarves,3,25,Gloves [clothing],,"['1. Nature', '2. Purpose', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 2, 6, 7, 8]"
25,Scarves,3,25,Shawls,,"['1. Nature', '2. Purpose', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 2, 6, 7, 8]"
3,False eyelashes,3,3,Cosmetics,,"['2. Purpose', '4. Complementary goods / services', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[2, 4, 6, 7, 8]"
30,Honey,3,30,Honey substitutes,,"['3. Methods of use', '5. Goods / services in competition', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[3, 5, 6, 7, 8]"
24,Towels of textile,3,25,Bath robes,"Towels of textile include towels for bathroom use. Bath robes are used for absorbing moisture after a bath. These goods serve the same purpose and satisfy the needs of the same public which can perceive them as interchangeable. Furthermore, companies producing towels and bath robes commonly make them from the same material and in matching style. They are typically sold in the same specialised shops and sections of department stores.","['2. Purpose', '5. Goods / services in competition', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[2, 5, 6, 7, 8]"
8,Hand tools and implements [hand-operated],3,8,Plane irons,,"['2. Purpose', '4. Complementary goods / services', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[2, 4, 6, 7, 8]"
8,Hand tools and implements [hand-operated],3,8,Glaziers' diamonds [parts of hand tools],,"['2. Purpose', '4. Complementary goods / services', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[2, 4, 6, 7, 8]"
8,Hand tools and implements [hand-operated],3,8,Shear blades,,"['2. Purpose', '4. Complementary goods / services', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[2, 4, 6, 7, 8]"
8,Hand tools and implements [hand-operated],3,8,Bits [parts of hand tools],,"['2. Purpose', '4. Complementary goods / services', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[2, 4, 6, 7, 8]"
8,Hand tools and implements [hand-operated],3,8,Extension pieces for braces for screw taps,,"['2. Purpose', '4. Complementary goods / services', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[2, 4, 6, 7, 8]"
8,Hand tools and implements [hand-operated],3,8,Frames for handsaws,,"['2. Purpose', '4. Complementary goods / services', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[2, 4, 6, 7, 8]"
8,Hand tools and implements [hand-operated],3,8,Saw blades [parts of hand tools],,"['2. Purpose', '4. Complementary goods / services', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[2, 4, 6, 7, 8]"
8,Hand tools and implements [hand-operated],3,8,Hollowing bits [parts of hand tools],,"['2. Purpose', '4. Complementary goods / services', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[2, 4, 6, 7, 8]"
29,Fruit-based snack food,3,30,Granola-based snack bars,"These goods are in competition when consumed as a ""healthy snack"".","['5. Goods / services in competition', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[5, 6, 7, 8]"
29,"Mushrooms, preserved",3,29,Preserved vegetables,"Mushrooms, or fungi in general, are not covered by the literal meaning of the term vegetables. However, mushrooms and vegetables are prepared and consumed in the same way, in the same type of dishes. The relevant public perceives these interchangeable foodstuffs as originating from the same undertakings, active in the field of agricultural products. Furthermore, mushrooms are typically sold next to vegetables in grocery stores and other places of sale.","['2. Purpose', '5. Goods / services in competition', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[2, 5, 6, 7, 8]"
29,Desserts made from milk products,3,29,Drinks made from dairy products,,"['1. Nature', '5. Goods / services in competition', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 5, 6, 7, 8]"
29,Meat extracts,3,29,Instant soup,,"['1. Nature', '3. Methods of use', '5. Goods / services in competition', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 3, 5, 6, 7, 8]"
29,Meat extracts,3,29,Instant miso soup,,"['1. Nature', '3. Methods of use', '5. Goods / services in competition', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 3, 5, 6, 7, 8]"
29,Meat extracts,3,29,Preparations for making bouillon,"The goods under comparison can coincide in nature (both can take liquid or dried forms), method of use (add water), distribution channels, relevant public and producer/provider. They are also in competition in the sense that one can be used in substitution of the other, however this interchangeability works only one way where meat extracts can be used as simple bouillon broths. They do not, however, have the same purpose since the purpose of meat extracts is to provide additional flavour to dishes, or to act as an ingredient for broths/soups.","['1. Nature', '3. Methods of use', '5. Goods / services in competition', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 3, 5, 6, 7, 8]"
29,Meat extracts,3,29,Soup powders,,"['1. Nature', '3. Methods of use', '5. Goods / services in competition', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 3, 5, 6, 7, 8]"
29,Meat extracts,3,29,Broth,"The goods under comparison can coincide in nature (both can take liquid or dried forms), method of use (add water), distribution channels, relevant public and producer. They are also in competition in the sense that one can be used in substitution of the other, however this interchangeability works only one way where meat extracts can be used as simple bouillon broths. They do not, however, have the same purpose since the purpose of meat extracts is to provide additional flavour to dishes, or to act as an ingredient for broths.","['1. Nature', '3. Methods of use', '5. Goods / services in competition', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 3, 5, 6, 7, 8]"
29,Meat extracts,3,29,Soups,"The goods under comparison can coincide in nature (both can take liquid or dried forms), method of use (add water), distribution channels, relevant public and producer/provider. They are also in competition in the sense that one can be used in substitution of the other, however this interchangeability works only one way where meat extracts can be used as simple bouillon broths. They do not, however, have the same purpose where the purpose of meat extracts is to provide additional flavour to dishes, or to act as an ingredient for broths/soups. Furthermore, they are not complementary as one is not indispensable or important for the use of the other in such a way that consumers may think that responsibility for the production of those goods lies with the same undertaking.","['1. Nature', '3. Methods of use', '5. Goods / services in competition', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 3, 5, 6, 7, 8]"
16,Photocopy paper,3,16,Paper stock,,"['1. Nature', '5. Goods / services in competition', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 5, 6, 7, 8]"
16,Photocopy paper,3,16,Writing paper,,"['1. Nature', '5. Goods / services in competition', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 5, 6, 7, 8]"
16,Photocopy paper,3,16,Drawing paper,,"['1. Nature', '5. Goods / services in competition', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 5, 6, 7, 8]"
16,Photocopy paper,3,16,Laminated paper,,"['1. Nature', '5. Goods / services in competition', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 5, 6, 7, 8]"
16,Photocopy paper,3,16,Coated paper,,"['1. Nature', '5. Goods / services in competition', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 5, 6, 7, 8]"
